male,female,age,CSI,kobi_21,kobi_22,PPR
alpha,ku-96,26,1.036048897,0,0,1
alpha,co-96,26,0.011590917,0,0,0
alpha,yun-8796,26,0.233155759,0,0,0
alpha,ai-96,26,0.246529894,0,0,0
beta,yun-8796,26,0.104450364,0,0,0
beta,ku-96,26,0.199452957,0,0,0
ojii,ku-8796,26,9.398302942,0,0,1
ojii,ai-96,26,9.878959596,0,0,1
ojii,yun-96,26,5.07160929,0,0,1
ojii,co-8996,26,0.283180874,0,0,0
kusyao,co-96,26,1.229046267,0,0,1
kusyao,yun-8996,26,0.779156077,0,0,1
kusyao,ku-8796,26,2.341986221,0,0,1
kusyao,yun-8796,26,0.021854121,1,0,0
rakumo,yun-8796,26,8.38062136,0,0,1
rakumo,ku-8796,26,5.441063448,0,0,1
rakumo,co-96,26,0.085303548,0,0,0
rakumo,ai-96,26,0,1,0,0
beta,yun-97,25,0.10917425,1,0,0
rakumo,yun-97,25,0.049189637,0,0,0
alpha,mi-98,24,0.051267519,0,0,0
beta,mi-98,24,3.983069049,1,0,1
beta,ku-98,24,0.054062249,0,0,0
ojii,mi-98,24,7.320406667,1,0,1
ojii,ku-98,24,2.242070925,0,0,1
kusyao,mi-98,24,7.396960827,0,0,1
kusyao,ku-98,24,8.365307239,0,0,1
rakumo,mi-98,24,1.276439945,0,0,1
rakumo,ku-98,24,0.211702235,0,0,0
alpha,gl-00,22,1.262964178,0,0,1
beta,gl-00,22,0.118622022,0,0,0
ojii,sy-01,22,3.623516145,0,0,1
kusyao,gl-00,22,0.317176336,0,0,1
rakumo,gl-00,22,2.549714185,0,0,1
alpha,ku-01,21,2.454251514,0,0,1
alpha,co-9401,21,4.187355182,1,0,1
alpha,cho-01,21,3.03373037,0,0,1
alpha,co-9001,21,0.135970376,0,0,0
alpha,sy-01,21,0.087377684,0,0,0
beta,cho-01,21,1.753652097,0,0,1
beta,ku-01,21,0.021519924,0,0,0
beta,sy-01,21,0.114947888,0,0,0
ojii,cho-01,21,0.312154102,0,0,1
kusyao,co-9401,21,0.007037768,0,0,0
kusyao,ku-01,21,0.022965347,0,0,0
rakumo,sy-01,21,0.981924777,1,0,1
ojii,co-9001,21,0,1,0,0
alpha,yun-02,20,12.77004733,0,1,1
alpha,ku-02,20,1.222395968,1,0,1
alpha,co-9402,20,0.165393473,0,0,0
alpha,ai-02,20,0.253216962,0,0,0
beta,ku-02,20,1.237133209,0,0,1
beta,co-9402,20,0.364264085,0,0,0
beta,yun-02,20,0.231995282,0,0,0
beta,ai-02,20,0.313875969,0,0,0
ojii,ai-02,20,7.779131148,0,0,1
ojii,co-9402,20,0.10924206,0,0,0
ojii,ku-02,20,0.333559494,0,0,0
kusyao,ku-02,20,1.342224072,1,0,1
kusyao,yun-02,20,0.872683196,0,0,0
rakumo,ku-02,20,14.86906564,0,0,1
rakumo,co-9402,20,0.072227821,0,0,0
rakumo,co-8902,20,0.066001285,0,0,0
rakumo,ai-02,20,0.211480334,0,1,0
alpha,mi-03,19,0.790997193,0,0,0
alpha,yun-03,19,0.164501864,0,0,0
alpha,shi-03,19,0.338365623,0,0,0
beta,mi-03,19,0.777866532,0,0,0
beta,yun-03,19,0.049338363,0,0,0
beta,cho-03,19,0.421475591,1,0,0
beta,shi-03,19,1.250255114,0,0,0
ojii,yun-03,19,0.203635685,0,0,0
ojii,cho-03,19,0.101287541,0,0,0
ojii,shi-03,19,0.530301262,0,0,0
kusyao,mi-03,19,0.245210643,0,0,0
kusyao,yun-03,19,0.006667359,0,0,0
kusyao,cho-03,19,0.074822583,0,0,0
kusyao,shi-03,19,0.191130955,0,0,0
rakumo,mi-03,19,1.608804639,0,0,1
rakumo,cho-03,19,1.317383667,0,0,1
